Date,High(°F),Low(°F),Precip.(inch),Snow(inch)
2018-08-04,84.9,73.0,0.64,0.0
2018-08-05,87.1,70.0,0.0,0.0
2018-08-06,96.1,73.0,0.0,0.0
2018-08-07,95.0,77.0,0.0,0.0
2018-08-08,84.9,73.9,0.98,0.0
2018-08-09,90.0,73.9,0.06,0.0
2018-08-10,88.0,72.0,0.0,0.0
2018-08-11,73.0,66.9,0.39,0.0
2018-08-12,75.0,66.9,1.38,0.0
2018-08-13,73.9,68.0,0.29,0.0
2018-08-14,80.1,69.1,0.01,0.0
2018-08-15,88.0,70.0,0.0,0.0
2018-08-16,91.0,75.0,0.0,0.0
2018-08-17,80.1,70.0,0.2,0.0
2018-08-18,88.0,66.9,0.13,0.0
2018-08-19,73.0,66.9,0.01,0.0
2018-08-20,73.9,66.9,0.0,0.0
2018-08-21,72.0,64.9,0.0,0.0
2018-08-22,84.0,66.0,0.5,0.0
2018-08-23,80.1,66.0,,0.0
2018-08-24,84.9,62.1,0.0,0.0
2018-08-25,82.0,66.0,0.0,0.0
2018-08-26,84.0,62.1,0.0,0.0
2018-08-27,90.0,73.0,0.0,0.0
2018-08-28,97.0,75.0,0.0,0.0
2018-08-29,98.1,81.0,0.0,0.0
2018-08-30,91.9,71.1,0.0,0.0
2018-08-31,73.0,63.0,0.0,0.0
2018-09-01,73.9,63.0,0.0,0.0
2018-09-02,84.0,64.0,0.0,0.0
2018-09-03,96.1,73.0,0.0,0.0
2018-09-04,87.1,73.0,0.0,0.0
2018-09-05,91.9,71.1,0.0,0.0
2018-09-06,97.0,73.9,0.03,0.0
2018-09-07,75.0,66.0,,0.0
2018-09-08,71.1,59.0,,0.0
2018-09-09,64.9,57.0,0.0,0.0
2018-09-10,68.0,62.1,0.76,0.0
2018-09-11,75.0,64.9,0.53,0.0
2018-09-12,70.0,66.0,0.26,0.0
2018-09-13,71.1,64.9,0.44,0.0
2018-09-14,75.0,64.9,0.0,0.0
2018-09-15,73.0,63.0,,0.0
2018-09-16,81.0,63.0,0.0,0.0
2018-09-17,84.9,66.9,,0.0
2018-09-18,77.0,69.1,1.15,0.0
2018-09-19,71.1,62.1,,0.0
2018-09-20,66.0,60.1,,0.0
2018-09-21,73.0,61.0,0.0,0.0
2018-09-22,73.0,57.0,0.03,0.0
2018-09-23,64.9,53.1,0.0,0.0
2018-09-24,60.1,54.0,0.0,0.0
2018-09-25,71.1,57.0,1.24,0.0
2018-09-26,84.0,68.0,0.28,0.0
2018-09-27,71.1,61.0,0.05,0.0
2018-09-28,62.1,57.9,0.35,0.0
2018-09-29,73.9,55.0,0.0,0.0
2018-09-30,70.0,54.0,0.0,0.0
2018-10-01,68.0,57.0,0.06,0.0
2018-10-02,64.0,57.0,0.29,0.0
2018-10-03,64.0,54.0,0.21,0.0
2018-10-04,73.0,59.0,0.0,0.0
2018-10-05,69.1,53.1,0.0,0.0
2018-10-06,63.0,51.1,0.0,0.0
2018-10-07,80.1,60.1,0.1,0.0
2018-10-08,60.1,55.0,,0.0
2018-10-09,80.1,57.9,0.0,0.0
2018-10-10,86.0,68.0,0.0,0.0
2018-10-11,72.0,57.9,0.6,0.0
2018-10-12,63.0,51.1,0.09,0.0
2018-10-13,54.0,46.0,0.13,0.0
2018-10-14,59.0,45.0,0.0,0.0
2018-10-15,70.0,45.0,0.07,0.0
2018-10-16,60.1,46.9,0.03,0.0
2018-10-17,63.0,44.1,,0.0
2018-10-18,48.9,39.0,,0.0
2018-10-19,63.0,37.0,0.0,0.0
2018-10-20,66.0,48.9,,0.0
2018-10-21,53.1,37.0,0.03,0.0
2018-10-22,54.0,34.0,0.0,0.0
2018-10-23,55.9,41.0,0.41,0.0
2018-10-24,48.9,41.0,0.04,0.0
2018-10-25,51.1,37.0,0.0,0.0
2018-10-26,48.0,34.0,0.0,0.0
2018-10-27,52.0,43.0,1.17,0.0
2018-10-28,54.0,43.0,0.03,0.0
2018-10-29,60.1,44.1,0.52,0.0
2018-10-30,50.0,39.0,0.0,0.0
2018-10-31,57.9,37.0,0.0,0.0
2018-11-01,64.0,53.1,0.01,0.0
2018-11-02,70.0,53.1,0.36,0.0
2018-11-03,68.0,46.9,1.39,0.0
2018-11-04,55.9,42.1,0.0,0.0
2018-11-05,52.0,46.0,0.36,0.0
2018-11-06,60.1,48.0,0.78,0.0
2018-11-07,64.0,53.1,0.0,0.0
2018-11-08,57.0,44.1,0.0,0.0
2018-11-09,50.0,37.9,1.1,0.0
2018-11-10,50.0,37.0,0.45,0.0
2018-11-11,46.0,35.1,0.0,0.0
2018-11-12,50.0,33.1,0.0,0.0
2018-11-13,54.0,42.1,1.1,0.0
2018-11-14,42.1,25.2,0.0,0.0
2018-11-15,37.9,23.2,0.46,0.12
2018-11-16,46.0,35.1,0.57,
2018-11-17,50.0,37.0,0.0,0.0
2018-11-18,41.0,37.9,0.0,0.0
2018-11-19,41.0,36.0,0.17,
2018-11-20,42.1,35.1,0.4,
2018-11-21,43.0,24.3,,
2018-11-22,24.3,14.2,0.0,0.0
2018-11-23,32.0,15.3,0.0,0.0
2018-11-24,46.9,29.1,0.0,0.0
2018-11-25,48.9,42.1,0.78,0.0
2018-11-26,46.9,42.1,0.87,0.0
2018-11-27,48.9,37.9,0.46,0.0
2018-11-28,44.1,36.0,0.0,0.0
2018-11-29,46.0,37.0,0.0,0.0
2018-11-30,44.1,33.1,0.0,0.0
2018-12-01,45.0,35.1,0.0,0.0
2018-12-02,51.1,41.0,0.75,0.0
2018-12-03,57.9,44.1,,0.0
2018-12-04,44.1,27.1,0.0,0.0
2018-12-05,36.0,25.2,0.0,0.0
2018-12-06,42.1,30.2,,
2018-12-07,39.9,26.2,0.0,0.0
2018-12-08,31.1,20.1,0.0,0.0
